0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-79.30914,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-78.759926,-78.911644,-80.0,-77.8371,-80.0,-80.0,-75.154205,-75.49825,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-78.71791,-74.72842,-75.92484,-80.0,-80.0,-72.94273,-80.0,-77.78103,-80.0,-80.0,-74.36765,-68.512695,-71.19055,-72.633705,-80.0,-80.0,-77.54628,-79.17839,-77.016884,-80.0,-80.0,-77.07692,-80.0,-80.0,-80.0,-80.0,-76.93386,-75.15762,-80.0,-80.0,-80.0,-80.0,-80.0,-77.26418,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-78.93624,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-75.07006,-77.105804,-80.0,-80.0,-80.0,-77.208626,-71.3678,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-78.08247,-80.0,-80.0,-80.0,-80.0,-80.0,-77.418465,-80.0,-80.0,-80.0,-80.0,-80.0,-76.21126,-74.10105,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-77.93736,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-80.0,-80.0,-70.90348,-67.65549,-80.0,-80.0,-80.0,-72.98674,-69.449265,-61.43431,-74.76432,-69.490524,-70.09634,-67.275955,-68.70386,-63.32803,-60.41351,-71.78818,-80.0,-80.0,-80.0,-80.0,-76.88361,-80.0,-80.0,-80.0,-73.216354,-71.49202,-80.0,-80.0,-66.87913,-67.10414,-62.07277,-62.440376,-67.77952,-64.573456,-67.57887,-62.42202,-60.688984,-64.687035,-63.514526,-61.683826,-64.04879,-68.94619,-73.04372,-76.69924,-80.0,-80.0,-80.0,-73.71138,-68.017494,-66.8354,-80.0,-63.998375,-68.10375,-77.34186,-80.0,-80.0,-78.268135,-74.74532,-79.74816,-76.26434,-74.49071,-74.50882,-79.75267,-68.504005,-78.88763,-80.0,-80.0,-80.0,-75.29144,-66.69244,-79.29047,-80.0,-72.726944,-74.73127,-76.94381,-76.493576,-71.531296,-72.63995,-80.0,-80.0,-70.652,-67.910164,-80.0,-80.0,-70.31999,-72.27834,-76.624306,-66.62132,-79.70463,-80.0,-72.99545,-80.0,-73.28298,-74.27353,-80.0,-78.186356,-80.0,-80.0,-68.00324,-63.516716,-64.40126,-68.14612,-80.0,-80.0,-79.28465,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-71.8481,-67.02718,-66.23047,-78.94613,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-78.245636,-76.9362,-80.0,-80.0,-80.0,-80.0,-80.0
-80.0,-80.0,-73.81259,-60.080532,-63.51284,-64.37248,-70.14485,-68.90299,-60.385742,-54.483543,-56.03853,-59.28595,-59.994576,-66.901886,-80.0,-61.338776,-59.796925,-73.18935,-80.0,-78.74063,-74.82889,-73.44733,-71.39027,-72.544624,-73.998795,-79.09841,-72.8785,-80.0,-76.681854,-69.78539,-65.5466,-80.0,-58.253437,-53.1412,-53.295097,-65.367226,-74.04436,-80.0,-69.430756,-60.211464,-65.64289,-70.82414,-65.544556,-80.0,-66.31841,-78.714165,-77.7603,-80.0,-69.55931,-67.25933,-61.356678,-61.084183,-62.837532,-57.412155,-57.669075,-73.6481,-80.0,-80.0,-75.35099,-77.79754,-77.12371,-68.37633,-66.24767,-63.176117,-61.099205,-59.672997,-66.704,-68.48051,-60.884445,-59.26466,-58.379,-55.779556,-60.930885,-63.657852,-65.570724,-75.37254,-80.0,-80.0,-67.2489,-61.43711,-74.23771,-70.081825,-79.11522,-60.47297,-68.02633,-71.7966,-68.23277,-71.52268,-75.33764,-68.00727,-62.82698,-65.47853,-67.803215,-64.11574,-70.62731,-74.49124,-59.393913,-62.673393,-80.0,-73.212685,-63.865303,-80.0,-62.12557,-63.553223,-69.463425,-76.37389,-80.0,-80.0,-77.16625,-79.178955,-80.0,-80.0,-80.0,-75.25611,-63.776836,-75.04677,-73.2738,-80.0,-74.22438,-75.310524,-79.41894,-80.0,-76.36829,-68.97666,-75.071495,-80.0,-80.0,-80.0,-79.43002,-80.0
-80.0,-80.0,-80.0,-59.67675,-53.476887,-57.323902,-80.0,-78.32889,-76.576965,-65.092926,-58.811882,-80.0,-67.75799,-77.22615,-78.41474,-72.33552,-68.62704,-80.0,-80.0,-73.37942,-68.676994,-76.5415,-73.41506,-74.74568,-72.35279,-62.876183,-79.456665,-80.0,-68.979,-80.0,-65.186035,-70.75901,-58.043423,-70.33063,-55.341763,-52.91191,-62.77996,-69.093796,-76.57091,-60.95279,-74.299576,-80.0,-68.060135,-64.55707,-73.0757,-62.636177,-58.124397,-58.542538,-67.08446,-80.0,-69.40774,-65.41845,-69.08139,-75.13033,-59.557873,-60.52249,-71.52986,-73.9455,-76.443695,-80.0,-78.16672,-68.631836,-80.0,-80.0,-64.2277,-71.345566,-65.57999,-61.641335,-58.50825,-57.494858,-65.141396,-64.37366,-54.138363,-70.38262,-65.14438,-80.0,-80.0,-80.0,-75.04966,-63.775406,-56.897957,-56.379807,-55.02761,-59.503986,-80.0,-74.19836,-80.0,-72.783424,-71.581116,-80.0,-58.69429,-68.74576,-80.0,-80.0,-59.527805,-53.872658,-47.80346,-53.901062,-67.76202,-64.14931,-64.717926,-71.21509,-69.84574,-80.0,-75.31195,-78.51722,-73.73582,-66.189224,-70.78283,-67.27144,-60.108974,-62.633316,-68.56865,-67.03805,-71.60976,-75.080414,-61.221333,-62.63265,-80.0,-73.95931,-74.858444,-66.43861,-61.487194,-67.796425,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-76.77227,-71.4142,-64.44227,-62.939945,-67.83096,-63.724003,-66.67526,-78.07134,-80.0,-80.0,-71.342636,-65.13033,-68.0065,-80.0,-80.0,-80.0,-73.90469,-73.667465,-71.474655,-77.71005,-80.0,-67.63952,-68.039345,-62.58014,-59.59545,-60.60076,-70.97006,-69.047386,-67.33887,-62.28216,-59.546486,-69.43082,-58.07157,-54.664223,-54.9117,-62.515064,-63.836678,-71.27906,-68.42529,-57.49488,-57.387398,-72.59826,-70.794136,-63.287445,-80.0,-65.314445,-54.98449,-58.64968,-64.71444,-70.37724,-56.85751,-57.219154,-60.528194,-61.29929,-60.79358,-69.76695,-60.702923,-65.82042,-80.0,-71.59843,-58.945297,-55.463646,-58.502354,-59.792927,-59.897087,-67.743484,-80.0,-67.53212,-80.0,-70.26535,-80.0,-63.2465,-49.746513,-54.38269,-55.255074,-66.769165,-74.04674,-64.85208,-67.49048,-61.944656,-75.0748,-56.874622,-63.317924,-63.69652,-73.387245,-80.0,-62.945763,-64.03603,-80.0,-69.603874,-67.56875,-55.387794,-63.09028,-76.173775,-60.320816,-52.63652,-53.379574,-53.699394,-70.25708,-59.80792,-80.0,-80.0,-74.13797,-80.0,-75.58377,-75.900955,-68.43807,-66.273895,-59.849342,-58.829494,-51.1442,-56.20188,-73.98921,-63.43949,-70.76698,-63.125675,-51.99897,-57.78168,-68.4116,-71.43476,-80.0,-70.710144,-63.387436,-67.90624,-77.95227,-80.0,-78.094734,-72.01172,-74.288864,-80.0
-68.1075,-62.6705,-63.778717,-65.21274,-73.29874,-80.0,-72.676186,-78.211235,-80.0,-80.0,-80.0,-69.44822,-64.8583,-69.50692,-71.40497,-79.28721,-71.65581,-67.878716,-77.13846,-80.0,-70.95493,-67.71887,-80.0,-59.574684,-67.17964,-73.402626,-65.047585,-65.32649,-80.0,-64.81407,-62.451138,-66.07384,-66.0326,-61.277527,-56.774376,-66.84031,-66.26649,-73.75421,-80.0,-61.070343,-55.87239,-61.8863,-61.718895,-66.263756,-80.0,-80.0,-61.69446,-79.16641,-62.513474,-55.81424,-54.924114,-69.12856,-65.82278,-64.83448,-62.900696,-73.58171,-64.09272,-64.0937,-69.87505,-62.258446,-55.936768,-55.573776,-59.12304,-58.77917,-54.897503,-56.663635,-62.474907,-70.41642,-78.50317,-76.369156,-78.63866,-62.364883,-48.89204,-47.84761,-53.10596,-68.13424,-80.0,-64.08859,-58.669594,-62.328114,-67.81004,-59.490314,-59.92589,-60.108414,-62.73045,-67.117325,-54.25662,-53.133003,-60.522797,-63.82672,-61.702614,-49.97336,-49.598053,-59.315723,-54.40925,-55.413204,-55.014282,-46.221245,-48.037872,-53.838203,-64.59958,-64.513725,-68.54373,-80.0,-65.332504,-55.409004,-57.528473,-57.038742,-49.269833,-50.063248,-63.9642,-61.88115,-68.29058,-63.81587,-62.96276,-67.457924,-53.151375,-55.83944,-66.20763,-57.555832,-65.00379,-68.796036,-74.17855,-67.50826,-74.727066,-71.66674,-80.0,-66.647316,-72.097916,-80.0
-67.65488,-64.57964,-77.07022,-60.589977,-70.48356,-80.0,-69.47604,-67.798904,-73.74803,-80.0,-80.0,-75.3622,-73.95937,-80.0,-67.96119,-69.56974,-73.280396,-80.0,-69.734665,-73.80337,-80.0,-76.331764,-62.25934,-61.791122,-76.67195,-80.0,-80.0,-63.285664,-65.70878,-80.0,-69.79817,-80.0,-78.7226,-74.633354,-72.82376,-55.581978,-52.86924,-62.291626,-80.0,-64.31807,-77.271225,-65.014786,-55.48293,-61.93403,-79.07245,-75.668625,-64.02153,-67.13191,-68.065254,-71.44765,-65.211945,-71.40676,-68.78931,-72.52287,-60.900536,-77.35268,-67.53965,-68.951584,-74.87696,-67.52108,-73.70529,-66.44724,-75.840645,-79.129555,-60.832413,-62.608063,-74.14761,-68.4988,-80.0,-80.0,-80.0,-78.96456,-58.183372,-62.18325,-64.30574,-62.59074,-80.0,-70.208084,-77.587456,-76.00155,-80.0,-69.202446,-57.44731,-64.37323,-66.43763,-80.0,-55.575596,-52.70719,-65.83139,-62.540237,-70.97694,-55.801414,-55.592384,-57.055923,-61.458855,-62.364204,-54.453247,-52.718456,-49.158257,-56.948006,-63.42964,-52.488525,-59.428017,-69.768394,-59.883316,-61.065025,-54.682026,-55.64907,-58.38797,-57.72911,-72.31412,-71.33972,-65.32853,-80.0,-69.31177,-80.0,-62.32362,-54.483562,-58.70989,-59.718792,-59.792778,-62.47161,-59.791836,-54.557358,-53.69837,-63.26584,-79.92174,-67.71756,-71.6833,-80.0
