0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-77.27218,-76.14981,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-79.51139,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-74.16446,-66.57981,-80.0,-80.0,-78.26956,-74.783936,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-72.065414,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-77.75774,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-73.60031,-80.0,-73.85432,-80.0,-80.0,-80.0,-80.0,-80.0,-78.28628,-80.0,-80.0,-80.0,-80.0,-66.3607,-78.12256,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-72.37313,-80.0,-80.0,-80.0,-80.0,-80.0
-80.0,-80.0,-80.0,-80.0,-79.03344,-74.731834,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-76.8335,-80.0,-78.01471,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-75.12277,-80.0,-80.0,-80.0,-80.0,-80.0,-79.258575,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-69.80618,-73.58876,-80.0,-80.0,-77.0849,-80.0,-80.0,-75.702736,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-79.64412,-80.0,-80.0,-79.68259,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-78.15823,-80.0,-80.0,-80.0,-80.0,-76.23039,-75.61394,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-77.82347,-73.927574,-73.05474,-72.524826,-80.0,-80.0,-77.334305,-80.0,-80.0,-80.0,-79.13028,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-67.42324,-65.134995,-77.485664,-80.0,-80.0,-80.0,-80.0,-79.58281,-78.9438,-80.0,-80.0,-73.20218,-64.49758,-76.07744,-80.0,-80.0,-80.0,-80.0,-77.6147,-68.71234,-70.12119,-79.51846,-80.0,-80.0,-80.0,-76.03912
-80.0,-79.9689,-73.7432,-72.459206,-66.344505,-80.0,-72.46417,-66.665565,-80.0,-72.243576,-75.807205,-79.008224,-80.0,-68.38606,-67.6169,-80.0,-70.06096,-62.351784,-62.95443,-67.38477,-64.371315,-69.18958,-66.18337,-70.05871,-71.95711,-76.777016,-70.5011,-69.86398,-80.0,-80.0,-80.0,-70.089096,-80.0,-80.0,-68.60183,-58.638443,-69.00367,-80.0,-75.7686,-80.0,-80.0,-65.107834,-61.78051,-67.740715,-72.13614,-66.53814,-64.253654,-71.90794,-80.0,-70.834274,-77.96206,-67.421234,-59.077995,-62.836704,-71.727066,-74.38185,-69.886284,-75.80675,-80.0,-76.63769,-72.82721,-80.0,-66.88221,-72.73348,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-74.4982,-77.204254,-80.0,-80.0,-79.993744,-80.0,-78.17522,-72.27202,-80.0,-80.0,-80.0,-80.0,-78.76794,-80.0,-77.42231,-63.811188,-68.96414,-80.0,-69.24225,-77.71825,-72.891914,-71.55617,-80.0,-80.0,-69.38982,-67.793015,-79.0877,-76.50615,-72.6733,-67.827156,-64.945564,-62.651516,-65.206696,-59.9551,-69.92858,-70.867355,-80.0,-79.71698,-80.0,-69.30621,-68.8775,-80.0,-77.16495,-76.01926,-66.92186,-73.872406,-69.604126,-70.05775,-72.06341,-80.0,-80.0,-80.0,-62.66104,-63.212368,-76.220955,-70.88576,-65.740166,-64.07433,-67.76647
-74.2014,-80.0,-71.33635,-72.5372,-68.892586,-56.824043,-51.75798,-56.885372,-80.0,-62.39731,-53.139557,-52.309727,-52.758068,-49.848915,-57.171875,-68.42755,-66.28967,-56.28859,-64.177246,-57.168453,-58.227768,-80.0,-61.78807,-72.93539,-62.429733,-59.93788,-80.0,-54.349598,-53.256226,-57.254612,-65.9949,-77.67232,-59.49536,-59.997288,-53.86134,-43.88523,-50.316772,-64.912735,-71.42767,-54.422516,-58.435734,-53.49686,-48.92152,-53.506954,-70.47249,-47.10719,-44.442688,-54.63338,-78.89411,-64.86377,-60.026802,-80.0,-45.575638,-41.3494,-49.699722,-53.488354,-56.134956,-57.806534,-57.999252,-54.02661,-52.00639,-56.963776,-75.72929,-61.86567,-59.8357,-66.21509,-66.63266,-80.0,-71.796936,-61.290794,-69.04614,-69.96951,-66.09609,-74.34621,-69.5245,-65.45836,-67.10015,-67.66464,-69.50076,-77.406136,-74.8561,-59.26531,-54.821877,-59.62043,-79.13292,-75.78472,-68.3766,-58.224968,-67.76183,-65.132286,-80.0,-65.18511,-80.0,-77.8508,-64.009735,-59.529533,-80.0,-73.83363,-64.40204,-60.50571,-74.68196,-68.35604,-61.28035,-55.76045,-57.275288,-78.62028,-75.14631,-63.0566,-55.64528,-55.154274,-58.429924,-58.463238,-58.56913,-61.809845,-64.7482,-61.65753,-67.9288,-76.10364,-59.30047,-59.144363,-80.0,-77.86318,-77.80731,-53.23632,-52.56818,-59.552002,-67.882904,-51.642643,-58.876507,-60.600204
-61.5029,-62.193447,-80.0,-62.21969,-50.70621,-42.975166,-40.023872,-45.53112,-60.31272,-52.000122,-52.971313,-53.52721,-43.26276,-63.329037,-46.33081,-45.430016,-60.311077,-56.13492,-53.809074,-46.38855,-48.107887,-68.10518,-63.76032,-50.519268,-46.07241,-49.479923,-53.90504,-47.868187,-46.089027,-41.744198,-44.032337,-49.395588,-46.86355,-56.80028,-47.650913,-35.25443,-41.741596,-54.8313,-46.758533,-43.310432,-41.04707,-54.981884,-41.730507,-42.796158,-62.849266,-44.70648,-33.9499,-43.877457,-80.0,-69.27902,-62.948402,-47.30058,-35.01046,-37.960297,-52.74049,-51.863377,-61.079475,-57.68876,-44.64501,-54.040375,-49.880432,-39.63069,-45.178574,-54.581814,-52.176926,-42.577457,-55.73297,-80.0,-62.217957,-59.725086,-50.59287,-48.118477,-49.51973,-56.002655,-71.290054,-65.84462,-66.48518,-75.876434,-70.641685,-73.118164,-49.987656,-40.11418,-42.17274,-71.47881,-52.628227,-49.598354,-49.3288,-63.59785,-70.30516,-73.2129,-52.239944,-48.682858,-54.541695,-61.228416,-56.326294,-47.93643,-51.273827,-52.507927,-64.10506,-69.26039,-67.33488,-65.29785,-78.17519,-60.99228,-58.81426,-69.02948,-72.501465,-56.28494,-51.171467,-52.539726,-58.618584,-56.919304,-49.736797,-70.72615,-80.0,-65.76172,-50.65901,-45.71264,-45.32989,-74.98195,-55.376133,-47.56559,-45.823063,-41.46306,-50.771507,-54.77342,-48.131413,-43.982426,-37.932957,-41.660778
-51.632637,-54.864426,-72.48549,-45.86889,-40.25177,-71.975586,-38.37021,-44.91305,-52.897003,-44.313187,-80.0,-59.574024,-40.073944,-41.022667,-40.303375,-39.63298,-45.139744,-68.777664,-44.64952,-36.2735,-41.05977,-61.7781,-50.636723,-46.32967,-52.1717,-47.027134,-72.70563,-49.183815,-80.0,-40.270546,-40.063313,-46.911835,-43.749573,-58.810066,-50.478107,-32.623592,-39.664684,-52.79101,-48.873207,-50.058964,-51.101494,-31.1447,-26.539373,-35.668064,-58.507828,-41.891914,-27.709534,-36.645046,-55.701584,-58.190083,-53.02851,-38.601303,-27.482918,-43.741726,-60.565483,-54.18701,-58.023666,-58.852882,-42.496567,-45.85891,-41.991875,-35.65876,-34.80869,-34.837467,-37.017372,-38.505955,-39.09941,-47.54508,-66.278305,-75.71709,-50.264755,-46.36318,-56.87732,-56.831963,-67.73024,-64.879265,-57.068886,-57.584484,-65.14174,-58.311546,-43.731167,-34.83087,-40.919773,-55.07499,-42.082653,-36.397655,-41.602013,-51.745445,-51.730526,-50.297943,-52.6957,-42.162235,-45.6786,-80.0,-67.68395,-48.51774,-40.848434,-54.52289,-70.35341,-72.04226,-80.0,-66.36914,-75.21657,-60.472168,-52.099483,-56.897655,-56.72457,-54.896008,-61.58216,-67.93352,-54.239693,-45.258446,-48.320282,-79.75459,-80.0,-75.16145,-56.91305,-42.010056,-43.97465,-45.617363,-39.560978,-39.92286,-50.761803,-45.750755,-37.60206,-40.594986,-61.911263,-53.283203,-36.769516,-33.982914
-46.96456,-43.758766,-46.379776,-39.319305,-39.090984,-51.233326,-37.082085,-33.75049,-36.96918,-36.776302,-45.819897,-44.47011,-52.750107,-39.02075,-48.75927,-46.699417,-47.312157,-56.93894,-38.23682,-47.695564,-41.37165,-42.44436,-35.853935,-41.1447,-54.86392,-48.342747,-44.518234,-47.642426,-80.0,-37.43271,-39.160973,-48.187984,-55.3999,-61.13133,-59.275658,-33.69072,-32.1996,-50.18429,-70.992615,-62.69591,-49.628883,-30.545223,-22.037046,-30.130812,-44.329758,-31.179434,-27.323536,-37.339497,-58.328106,-39.62134,-37.50498,-33.2378,-28.42052,-29.383612,-38.673615,-48.797012,-54.778828,-53.2737,-45.635826,-63.868202,-46.504135,-48.244293,-51.06852,-35.48008,-38.699192,-57.282173,-34.491318,-37.60244,-51.747112,-68.18271,-48.623215,-47.42247,-61.272034,-80.0,-64.017494,-71.26925,-53.218575,-54.497963,-55.98683,-49.16772,-69.45608,-36.1337,-40.494972,-48.43838,-45.555656,-40.216545,-48.134693,-50.143684,-39.45302,-45.76553,-61.063522,-48.684006,-45.576508,-53.96929,-78.37646,-52.68696,-37.64881,-47.379124,-52.809364,-66.577034,-69.84381,-63.80934,-80.0,-56.986824,-39.621178,-42.62269,-65.61615,-65.06618,-50.903885,-60.98516,-57.551666,-45.997227,-57.100197,-55.61714,-58.4039,-61.063526,-66.27621,-44.443672,-63.19017,-44.2321,-39.585537,-47.27319,-65.63244,-45.60609,-43.196915,-43.30746,-43.71339,-54.706306,-38.259792,-32.03393
-46.373283,-52.011215,-51.76825,-58.415607,-42.702045,-45.657646,-31.776716,-37.515163,-40.16193,-42.273655,-44.0267,-47.787415,-65.24961,-41.095898,-41.972664,-50.71608,-42.350914,-41.922604,-38.17363,-46.43754,-45.14943,-33.59851,-30.857533,-34.868217,-46.178913,-41.899696,-46.321545,-47.588852,-37.111397,-30.883455,-32.160065,-57.7833,-50.58318,-48.904957,-47.00574,-43.100502,-37.60383,-44.560883,-70.6357,-78.71008,-53.52089,-44.29683,-27.23737,-32.241837,-41.832344,-38.364933,-43.493088,-38.44583,-42.448166,-40.15387,-45.399555,-50.365234,-50.995426,-31.75322,-32.32897,-59.046677,-52.374695,-64.00621,-57.358868,-51.7223,-53.369934,-56.731182,-51.012318,-57.359188,-43.570786,-45.575623,-37.942932,-48.518394,-52.209743,-80.0,-49.139626,-39.718185,-51.947777,-61.47915,-52.13964,-58.10184,-55.46995,-80.0,-75.210945,-52.264,-45.2245,-32.391205,-30.458202,-46.058384,-80.0,-59.084053,-41.387043,-39.073696,-47.485054,-51.497406,-49.307938,-80.0,-54.71351,-53.855618,-56.32433,-46.421383,-39.832066,-40.197277,-44.079567,-54.62764,-56.336063,-58.57877,-76.53684,-46.401722,-32.84708,-37.34235,-56.78871,-46.757996,-50.072,-65.18264,-50.46025,-45.983837,-60.61458,-49.070976,-45.762344,-76.30768,-56.274956,-48.294178,-43.875084,-55.926384,-68.35126,-43.743984,-39.348854,-37.15827,-49.92591,-52.99529,-47.702343,-50.944202,-37.32499,-32.566383
-46.64618,-52.681934,-63.372787,-67.98495,-52.42211,-37.929153,-31.235147,-33.084064,-34.914112,-34.608192,-35.64225,-39.859097,-46.9042,-39.521957,-39.90175,-48.896584,-40.166714,-50.18713,-46.435402,-54.033855,-65.30025,-44.613598,-42.498783,-55.96951,-40.109657,-34.44329,-37.06164,-38.33245,-33.327015,-44.099415,-34.992893,-34.073315,-33.99728,-36.635868,-54.536728,-51.20659,-55.18825,-47.36333,-44.77368,-51.783493,-44.881073,-36.51748,-35.26838,-67.33243,-43.39734,-40.52347,-40.505863,-39.399742,-50.1798,-45.555706,-51.276707,-53.827793,-52.103863,-45.470554,-32.066338,-41.703667,-63.295685,-60.740055,-60.500706,-53.710835,-47.136242,-49.919807,-49.265896,-45.701443,-43.39528,-46.42565,-41.16481,-57.24985,-56.925262,-67.49088,-59.079964,-38.80222,-40.493725,-43.86893,-40.606525,-55.16382,-49.517097,-49.107513,-52.65416,-49.10785,-79.08578,-32.852833,-31.315105,-52.79866,-80.0,-68.491234,-46.970406,-36.643456,-53.281345,-73.51887,-53.41612,-45.782536,-57.512794,-60.34388,-51.77744,-43.240417,-62.10926,-57.39672,-47.877552,-63.8873,-51.41433,-45.14921,-43.94716,-34.578102,-39.638985,-43.57778,-39.137627,-42.447834,-58.159172,-80.0,-53.8403,-38.601875,-48.307514,-48.359413,-38.19351,-43.765057,-50.725613,-50.05512,-38.08882,-47.152122,-44.06105,-38.485588,-36.752014,-44.38602,-51.96323,-52.02477,-57.102837,-50.122524,-38.42371,-36.19508
-47.188206,-47.34185,-70.6624,-76.80227,-65.0397,-56.383457,-47.367638,-37.945126,-46.76652,-34.558784,-33.35618,-42.27027,-42.942318,-60.614677,-44.97954,-37.14983,-48.893684,-65.94336,-53.06405,-57.320873,-59.65748,-58.380608,-73.4462,-54.52145,-48.494987,-45.065773,-45.433475,-58.212536,-43.992485,-44.0868,-38.597332,-32.924862,-33.52221,-41.946743,-61.93966,-61.504303,-42.928265,-39.274696,-39.182827,-40.162125,-42.21686,-54.075954,-41.48703,-39.31185,-43.688416,-41.39482,-41.93519,-43.163284,-45.32893,-41.654377,-48.082695,-42.946396,-42.29962,-43.776173,-38.64847,-45.153015,-70.35703,-55.492905,-52.315308,-50.567257,-39.885574,-40.69018,-78.61969,-46.425438,-43.165504,-46.33663,-44.19888,-49.5432,-80.0,-59.927242,-52.49711,-48.994633,-41.865074,-38.967857,-41.047947,-48.106846,-55.860603,-44.5326,-63.69713,-49.439144,-43.110725,-36.43513,-37.797485,-56.01092,-55.00929,-49.276382,-40.775124,-42.89205,-49.041077,-52.355736,-50.496315,-47.82784,-46.63405,-54.79965,-57.939545,-48.629402,-55.515457,-80.0,-57.660713,-48.32842,-47.11474,-63.888298,-37.414703,-37.57605,-51.638905,-61.286716,-48.608284,-49.76701,-77.10924,-64.95796,-46.700855,-38.635338,-39.811203,-44.900055,-40.720158,-46.02377,-49.066174,-42.02483,-40.523407,-36.300426,-39.88192,-48.492287,-61.244736,-57.986908,-64.86443,-52.067127,-46.068928,-42.520737,-47.492767,-44.697098
