0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
-80.0,-61.156,-54.64971,-62.907272,-74.87572,-80.0,-69.78883,-80.0,-66.57912,-59.86126,-80.0,-80.0,-69.29988,-71.52945,-80.0,-80.0,-75.487495,-80.0,-80.0,-80.0,-80.0,-78.99136,-80.0,-79.62524,-80.0,-79.1368,-80.0,-69.5802,-80.0,-67.61308,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-77.99965,-80.0,-79.21451,-68.95212,-70.38978,-60.507736,-80.0,-80.0,-80.0,-80.0,-80.0,-69.24763,-80.0,-80.0,-80.0,-80.0,-78.80278,-80.0,-78.36147,-80.0,-80.0,-77.22903,-66.53446,-74.771095,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-78.5552,-61.94362,-60.912056,-72.86438,-72.98753,-69.43075,-72.97103,-70.05749,-54.430153,-64.133255,-72.03728,-62.542526,-59.212585,-69.447754,-80.0,-80.0,-67.20756,-63.414856,-73.46647,-80.0,-74.18035,-74.32977,-80.0,-80.0,-74.549995,-80.0,-64.31383,-62.25361,-60.616875,-63.372543,-76.040886,-80.0,-80.0,-78.008095,-80.0,-80.0,-75.61329,-80.0,-76.95532,-65.99837,-57.55635,-53.568016,-70.10323,-80.0,-80.0,-80.0,-80.0,-67.17113,-64.46235,-74.522194,-80.0,-80.0,-80.0,-80.0,-71.75049,-77.70883,-80.0,-80.0,-73.59487,-74.90675,-80.0,-80.0,-80.0,-80.0,-77.088234,-71.41574,-79.559875,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-80.0,-72.72268,-75.893486,-79.1703,-56.774826,-52.479263,-53.670044,-48.19693,-47.74976,-49.830288,-52.37761,-51.423286,-57.746696,-76.91193,-80.0,-64.34357,-60.011047,-64.93778,-63.85267,-80.0,-80.0,-56.39908,-55.659775,-58.95352,-58.634087,-72.45639,-57.636375,-50.91501,-69.78215,-54.63443,-70.467636,-66.366684,-59.357468,-54.186462,-60.634254,-67.82828,-73.52684,-64.16752,-58.055267,-69.52048,-55.700752,-51.54141,-59.65879,-68.95011,-67.13215,-80.0,-68.818436,-52.474026,-57.507812,-75.675705,-66.793144,-79.53676,-80.0,-80.0,-63.95294,-68.38708,-80.0,-79.16821,-80.0,-74.56247,-80.0,-80.0,-76.54077,-73.44776,-73.57689,-62.251656,-67.376366,-80.0,-80.0,-72.77703,-80.0,-80.0,-80.0,-73.836136,-78.55851,-74.147064,-73.30766,-80.0,-75.39228,-74.67765,-80.0,-80.0,-80.0,-76.38306,-80.0,-80.0,-75.83827,-80.0,-80.0,-80.0,-77.71046,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-56.946754,-53.3658,-60.300545,-51.02669,-41.19268,-37.030666,-54.56259,-46.375023,-56.393044,-42.50112,-42.43566,-58.707153,-49.202103,-65.90701,-76.92232,-53.096237,-53.627052,-62.893723,-80.0,-56.93273,-54.063164,-39.630306,-38.04765,-52.134453,-58.290726,-47.398888,-40.480858,-36.892696,-43.320305,-51.75255,-71.24423,-56.235657,-55.26178,-47.847107,-45.936054,-54.436077,-56.077408,-56.808624,-58.1369,-43.101135,-44.29706,-60.390648,-54.972298,-59.883118,-54.7602,-50.870155,-45.60086,-43.18857,-48.969803,-57.346077,-55.877052,-64.81727,-66.77818,-61.41314,-48.504272,-52.748634,-74.34614,-79.07138,-64.857475,-66.344955,-69.36689,-66.333824,-57.169838,-57.57483,-65.82703,-58.355354,-68.577644,-72.35389,-60.661415,-59.84971,-74.69312,-80.0,-76.54959,-63.709023,-78.14359,-75.18551,-64.861885,-60.236473,-57.17997,-65.86183,-79.232155,-79.8246,-66.37683,-60.16176,-62.5567,-59.67543,-57.053894,-66.27517,-72.45093,-61.964836,-58.86017,-65.86526,-79.480515,-80.0,-80.0,-80.0,-80.0,-80.0,-76.80074,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-45.035507,-34.247185,-33.003906,-42.453453,-27.921486,-34.374348,-54.41146,-39.80493,-55.36538,-35.12671,-25.699286,-39.608162,-48.63877,-34.737053,-38.83423,-39.46914,-38.191612,-35.519314,-36.862587,-40.685684,-42.077606,-34.28019,-31.114939,-42.87578,-68.099144,-35.570335,-33.505093,-49.07665,-33.87514,-50.264935,-48.52451,-39.226734,-41.18994,-39.413097,-40.897655,-59.064224,-47.66844,-65.52152,-50.871155,-34.276535,-30.873383,-32.97477,-35.244476,-50.149227,-57.546806,-45.212708,-50.704376,-49.58981,-55.975624,-52.54413,-68.509735,-61.974426,-45.782692,-39.075043,-35.924107,-46.035034,-61.809128,-57.369072,-58.999336,-79.532524,-66.64311,-80.0,-57.24666,-47.022446,-57.716393,-67.201065,-61.8397,-63.29699,-56.78869,-47.731606,-54.69738,-80.0,-73.445656,-61.20777,-58.38543,-64.51162,-59.585365,-47.342728,-53.264877,-80.0,-62.18473,-56.356293,-51.48533,-52.810623,-79.06495,-50.646362,-56.244873,-65.54729,-64.551155,-60.396263,-51.881767,-62.521484,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-74.18819,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-47.950996,-35.86604,-24.687984,-22.032946,-19.492168,-25.140495,-32.188965,-21.635551,-21.414013,-20.050192,-17.295202,-21.699469,-24.539707,-27.411095,-37.55255,-39.644215,-57.254967,-31.615559,-22.92135,-33.12481,-30.575434,-42.598404,-24.845749,-30.47573,-36.36648,-30.786156,-32.138744,-41.236263,-35.983604,-27.65811,-28.129549,-30.9006,-29.03864,-34.016575,-44.52948,-26.368048,-28.215425,-45.86959,-42.991142,-29.929392,-46.1652,-30.86959,-31.649204,-38.928032,-42.998375,-80.0,-59.302376,-47.021767,-46.48307,-55.57551,-64.707886,-58.908646,-50.33436,-34.775795,-47.149475,-42.475456,-56.62655,-47.568657,-50.58837,-52.312683,-61.01886,-56.890755,-49.29911,-52.08831,-54.512848,-58.935997,-55.494118,-53.438667,-55.30139,-40.064404,-46.282658,-67.466286,-66.793304,-75.847855,-65.35384,-57.791718,-48.05424,-54.123344,-55.995216,-66.94679,-63.99379,-52.078804,-66.23781,-55.645126,-49.26986,-47.555923,-58.873413,-68.321724,-65.49461,-62.525925,-55.349285,-64.87152,-80.0,-74.6527,-78.69064,-80.0,-73.67456,-71.74636,-72.900604,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-41.49648,-34.446953,-46.18936,-24.644539,-32.92408,-25.671436,-22.907595,-19.031818,-17.287947,-24.6417,-31.393555,-15.571246,-30.549952,-26.450594,-47.295013,-66.71634,-42.78891,-34.85153,-25.535402,-18.756332,-17.564135,-17.307873,-22.701517,-41.065315,-40.56711,-42.797028,-41.281532,-35.56524,-47.531128,-23.235287,-30.044155,-47.668205,-55.788895,-25.37884,-19.443882,-13.104115,-18.034565,-30.89998,-32.404037,-31.015724,-39.332264,-36.621964,-45.530357,-46.662758,-45.874702,-44.39976,-35.55264,-38.268867,-37.355865,-29.850838,-31.414364,-37.022404,-37.347115,-39.250683,-45.25064,-32.502132,-32.139084,-56.28334,-48.64428,-49.56044,-41.49225,-38.232372,-44.497284,-63.214165,-56.32084,-68.64427,-61.02501,-57.38604,-37.676044,-36.030907,-59.204292,-57.23472,-75.74611,-51.715538,-47.767296,-44.92679,-56.19439,-80.0,-73.024635,-61.316658,-54.034203,-49.55102,-65.155365,-80.0,-56.43827,-51.511604,-72.60898,-76.37516,-62.349472,-61.317802,-71.44813,-69.65902,-65.94938,-64.36989,-74.96647,-72.88551,-59.833633,-61.489014,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-30.306664,-19.816113,-19.056135,-18.239216,-25.645166,-39.259205,-29.326939,-58.712143,-27.547747,-45.11358,-26.580456,-11.575632,-15.33357,-16.285479,-26.785017,-37.219994,-28.021793,-31.518328,-25.636763,-34.87394,-19.329473,-23.158476,-29.675665,-36.712265,-43.77192,-29.234114,-30.276625,-55.981964,-32.628616,-35.162083,-20.729683,-26.361387,-36.275715,-29.711573,-17.568325,-18.477692,-17.589527,-46.44919,-26.799376,-51.566673,-49.65104,-41.51899,-51.332176,-41.930855,-46.952576,-38.229683,-37.475113,-28.112295,-30.27824,-20.887783,-24.391472,-40.434387,-34.00287,-38.812187,-38.399574,-23.627048,-27.618034,-39.557808,-41.88411,-57.595543,-45.583893,-38.690933,-44.366158,-52.93135,-56.99845,-57.289207,-49.875687,-47.966415,-45.000175,-35.66925,-44.41134,-53.10549,-46.179832,-34.541885,-31.343445,-36.979454,-51.122467,-63.623474,-68.87028,-69.46455,-49.76411,-45.59443,-55.058388,-73.45543,-60.856667,-50.45982,-55.06248,-54.83217,-54.505814,-65.33871,-78.20207,-73.925735,-58.62887,-62.925438,-80.0,-63.891235,-62.45854,-64.20101,-75.289055,-72.2015,-72.05784,-75.129295,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-30.832573,-19.560688,-17.858326,-14.22156,-15.055677,-22.097677,-31.79224,-41.4728,-32.18685,-32.83601,-24.809793,-10.830954,-8.977125,-14.113948,-27.397774,-43.500237,-27.366028,-22.406897,-24.283663,-28.052555,-21.573135,-21.681677,-25.485235,-26.443487,-30.44239,-19.913013,-18.758959,-26.261818,-28.058283,-28.937574,-16.30418,-14.331277,-24.115631,-23.559744,-22.939604,-25.869356,-13.575234,-15.127228,-19.191479,-25.933334,-27.245668,-34.53067,-54.187737,-36.453377,-25.628923,-27.146194,-28.073292,-18.9742,-18.798372,-32.72508,-31.19627,-35.521267,-33.940403,-34.062313,-38.481052,-26.070826,-26.500763,-39.66214,-29.569052,-36.822277,-44.5534,-43.037956,-49.076088,-49.89637,-44.77298,-64.19846,-44.40966,-48.92325,-53.81362,-44.84646,-41.665123,-58.759468,-41.68435,-32.38528,-35.83464,-44.271408,-61.01187,-55.746063,-54.702766,-63.919548,-64.48253,-57.768555,-50.191666,-61.44359,-62.822784,-54.96733,-51.313976,-52.25076,-50.098404,-69.78481,-61.936066,-59.812172,-60.22203,-80.0,-63.850296,-63.73475,-80.0,-73.707695,-80.0,-73.9764,-60.367256,-67.10842,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-44.244705,-34.168026,-36.784115,-22.492924,-20.097483,-40.526237,-27.328564,-38.176487,-41.480644,-39.677456,-52.32274,-19.525106,-20.471077,-28.120705,-21.539822,-45.86911,-35.877754,-39.945656,-38.916447,-40.794617,-35.521545,-21.313408,-28.839312,-31.320602,-66.39093,-22.212297,-17.878277,-32.49675,-28.03031,-35.84598,-22.056467,-21.161322,-23.712172,-28.970875,-32.051155,-22.358519,-19.586533,-17.078522,-22.375597,-28.690533,-17.479963,-25.064575,-41.161705,-29.720858,-31.679075,-25.041058,-25.793219,-27.272486,-25.289108,-38.459805,-39.828625,-32.168056,-54.291416,-41.93285,-66.56676,-37.988358,-27.124834,-30.01345,-31.758757,-32.86082,-36.907284,-34.385826,-29.884182,-28.30346,-35.629616,-53.142513,-45.411484,-45.86686,-68.79722,-67.5266,-53.44081,-51.780598,-37.478996,-53.849556,-48.245872,-64.20734,-50.724663,-57.423035,-58.83719,-53.675392,-55.22564,-53.08737,-52.435402,-80.0,-80.0,-72.06711,-64.283554,-76.4422,-52.323227,-51.986927,-51.3136,-67.678444,-55.085434,-61.539284,-65.8281,-62.127495,-80.0,-69.837395,-76.254555,-68.92008,-57.99196,-66.7363,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
