0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
-80.0,-80.0,-78.11006,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-65.71152,-70.673645,-80.0,-71.66459,-72.95063,-80.0,-80.0,-80.0,-77.79815,-80.0,-80.0,-80.0,-80.0,-80.0,-74.05066,-80.0,-80.0,-80.0,-80.0,-71.94078,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-76.097336,-72.440346,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-73.77139,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-67.89549,-78.89856,-80.0,-80.0,-80.0,-78.97162,-78.676,-80.0,-80.0,-80.0,-77.34445,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-72.8461,-80.0,-77.77161,-75.37172,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-72.44732,-80.0,-80.0,-80.0,-76.66795,-80.0,-73.713196,-72.115776,-80.0,-74.18715,-71.75165,-80.0,-65.270035,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-70.05223,-80.0,-70.1576,-80.0,-80.0,-80.0,-80.0,-80.0,-76.88774
-80.0,-80.0,-80.0,-71.1813,-79.31458,-80.0,-80.0,-80.0,-75.69765,-80.0,-80.0,-80.0,-80.0,-80.0,-66.6176,-70.429665,-80.0,-71.292946,-64.82034,-72.6351,-80.0,-80.0,-74.88731,-80.0,-80.0,-80.0,-80.0,-80.0,-79.9359,-71.37704,-71.0369,-80.0,-80.0,-80.0,-77.01225,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-75.16342,-80.0,-80.0,-80.0,-79.06915,-79.0728,-74.94048,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-73.86633,-76.81712,-80.0,-80.0,-80.0,-80.0,-80.0,-75.70329,-66.09482,-71.32397,-80.0,-80.0,-80.0,-80.0,-77.63541,-80.0,-80.0,-80.0,-75.47354,-72.02665,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-79.81048,-80.0,-80.0,-80.0,-80.0,-80.0,-79.646385,-80.0,-80.0,-75.61625,-75.96391,-79.17413,-78.43924,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-78.0515,-72.07066,-72.141556,-76.8723,-80.0,-80.0,-74.26157,-79.88774,-80.0,-79.46586,-74.66049,-70.1929,-69.53921,-71.025604,-71.314095,-80.0,-74.51136,-67.91948,-74.90231,-80.0,-77.84091,-70.43345,-69.72075,-68.58252,-65.79817,-80.0,-80.0,-78.838486,-80.0,-79.68296,-74.896545
-65.45401,-68.70059,-66.500656,-67.640625,-75.826935,-80.0,-80.0,-80.0,-72.77878,-72.96976,-77.461,-76.22818,-80.0,-72.08402,-58.202282,-62.585854,-78.64824,-80.0,-61.96051,-64.91362,-66.90315,-68.15459,-80.0,-80.0,-78.52104,-80.0,-75.22203,-73.48885,-75.88869,-69.97383,-71.40345,-66.952255,-78.40976,-80.0,-77.00238,-80.0,-80.0,-80.0,-80.0,-74.69064,-70.76648,-80.0,-69.353584,-70.805664,-71.40732,-80.0,-69.03935,-80.0,-65.78346,-80.0,-80.0,-80.0,-76.78107,-74.54727,-66.6783,-61.358387,-72.12508,-80.0,-76.475876,-80.0,-73.78511,-80.0,-65.59364,-71.59648,-80.0,-80.0,-80.0,-80.0,-66.89791,-76.747,-80.0,-80.0,-70.57916,-61.96393,-80.0,-80.0,-79.24659,-80.0,-80.0,-80.0,-80.0,-66.40965,-69.23505,-80.0,-68.14696,-73.32044,-80.0,-80.0,-80.0,-76.938614,-75.438934,-80.0,-66.85236,-67.28388,-75.83277,-80.0,-80.0,-80.0,-80.0,-80.0,-74.54057,-65.514824,-80.0,-80.0,-80.0,-76.26137,-80.0,-80.0,-76.16968,-80.0,-68.927414,-74.76491,-74.25113,-70.04381,-72.67403,-66.824936,-54.883923,-57.84991,-75.81773,-80.0,-73.86009,-79.142334,-80.0,-65.42919,-62.76937,-69.577774,-73.876755,-71.76457,-80.0,-77.71683
-52.532898,-49.133415,-73.719284,-60.573895,-72.3145,-67.91758,-70.59204,-69.45805,-53.699078,-68.6755,-55.83549,-56.492695,-61.302532,-62.69612,-54.276924,-53.57441,-75.86309,-67.73433,-59.524338,-67.97718,-62.4561,-53.886936,-67.47613,-75.9482,-76.1259,-59.443253,-76.340256,-69.60701,-57.75926,-60.789124,-63.01134,-61.381817,-80.0,-67.86665,-80.0,-80.0,-68.78444,-70.52982,-77.21735,-60.42306,-59.566635,-75.50296,-57.837112,-48.294823,-55.84549,-62.953438,-53.688667,-48.88217,-52.219032,-72.5997,-75.407555,-69.187325,-75.61216,-62.81331,-53.850754,-71.99135,-72.51677,-69.98571,-63.668163,-65.32768,-80.0,-66.47534,-55.44833,-60.52561,-74.99141,-80.0,-75.226166,-72.65039,-56.50911,-55.984604,-69.09096,-80.0,-60.433136,-51.674282,-60.42985,-66.48273,-70.93738,-80.0,-78.863266,-57.191,-54.559975,-50.136272,-53.66762,-58.687027,-56.4334,-73.085495,-76.40279,-80.0,-73.15238,-66.69388,-65.71389,-57.948837,-59.822716,-65.93718,-63.389206,-75.033615,-80.0,-80.0,-72.94912,-71.507904,-72.37898,-55.372833,-65.3571,-80.0,-74.922134,-73.57563,-70.38771,-69.188446,-67.85393,-72.64609,-71.85895,-52.85486,-53.945244,-55.50344,-52.93288,-53.769234,-53.786163,-69.87034,-59.962658,-67.7422,-77.47417,-75.381744,-73.51528,-62.69223,-57.715767,-80.0,-80.0,-59.51217,-61.90921,-64.934814
-47.9934,-40.245773,-44.595062,-49.13244,-57.970863,-56.104374,-48.603363,-44.241467,-39.368736,-39.04234,-46.80108,-56.294613,-60.39789,-68.453125,-56.463703,-47.483036,-47.834213,-46.120728,-63.495132,-52.670773,-48.53001,-53.93607,-47.677193,-46.56473,-50.227264,-58.65983,-57.191666,-59.900932,-70.19302,-50.15896,-55.316334,-69.2216,-49.375584,-48.781548,-58.958008,-59.148605,-53.580692,-65.85539,-67.78235,-59.183907,-55.55777,-71.08224,-55.504368,-38.10018,-39.647182,-47.70168,-37.07069,-43.864426,-46.050797,-49.958878,-54.139088,-56.77611,-55.292652,-47.060432,-45.565407,-63.81173,-75.83336,-75.55604,-64.721466,-60.769943,-56.65457,-47.971054,-40.86463,-53.16812,-74.034744,-56.098118,-56.633774,-80.0,-53.76024,-50.669445,-60.832222,-80.0,-55.126213,-43.99397,-56.360813,-67.48653,-51.953285,-52.981503,-52.824097,-46.258423,-41.930374,-48.34624,-67.26523,-53.94525,-60.374786,-57.355392,-55.619255,-45.671993,-43.282104,-45.454212,-49.832043,-43.47754,-45.3763,-47.25788,-49.94468,-79.29077,-59.46198,-60.97431,-56.96047,-52.443634,-48.447483,-42.2825,-48.72753,-59.61451,-80.0,-73.71188,-50.61795,-48.605747,-61.024734,-53.907608,-48.1688,-40.77301,-46.64186,-47.20404,-43.78153,-68.87729,-49.816177,-57.018494,-50.946472,-55.41494,-67.309006,-65.27105,-68.33939,-45.659412,-43.442677,-51.56967,-51.929962,-63.763206,-57.886333,-58.818333
-49.39739,-43.470043,-50.315018,-50.476006,-64.44205,-60.50621,-40.704685,-51.23812,-39.911133,-36.473904,-43.94499,-51.574097,-47.972687,-47.55088,-45.01484,-58.74329,-49.30878,-41.3596,-40.593773,-42.222538,-68.23703,-60.055866,-43.748947,-35.769497,-35.2386,-49.995323,-55.65422,-54.548798,-55.512917,-69.73439,-43.01706,-41.79281,-42.162994,-42.42911,-48.252716,-71.604965,-44.68401,-45.171806,-49.993496,-57.31994,-45.751457,-56.6724,-49.83478,-38.002525,-40.13984,-36.247097,-27.549816,-33.17437,-32.54666,-35.50557,-72.44389,-60.811966,-66.52156,-48.320553,-42.189255,-47.414673,-58.884205,-48.836113,-52.598278,-50.043583,-70.29866,-41.825623,-33.09625,-41.23897,-67.92522,-46.107338,-38.77997,-41.667244,-44.575176,-50.618446,-42.254463,-50.39427,-41.154503,-39.695915,-66.59958,-53.55231,-43.063194,-45.58107,-50.88169,-64.61029,-43.058952,-56.394062,-73.61126,-49.486374,-47.527184,-39.882103,-40.308655,-41.026566,-36.045887,-41.55292,-80.0,-41.845535,-42.08604,-48.67831,-33.253914,-32.62782,-35.454857,-51.167324,-58.147335,-49.660805,-68.52731,-39.1175,-37.573254,-43.74452,-48.398613,-45.19299,-43.81645,-47.782253,-43.685944,-38.512154,-47.2454,-40.692276,-42.164757,-44.213737,-39.813828,-46.42463,-48.36078,-52.385014,-63.25201,-45.760063,-54.537445,-49.565643,-43.406013,-33.642525,-41.058376,-47.55297,-42.43251,-56.453148,-58.07456,-62.036537
-54.023605,-52.885113,-72.94466,-59.204643,-62.830536,-43.25733,-34.55459,-45.01982,-49.280785,-42.434162,-55.078026,-35.412075,-34.437405,-35.326454,-54.937737,-51.001465,-40.05744,-46.515747,-41.418034,-33.007965,-39.773342,-38.905777,-44.261845,-51.491623,-32.787907,-30.545597,-38.47832,-35.74627,-36.846073,-44.061306,-45.84259,-40.34034,-52.27334,-50.376465,-41.85388,-46.731655,-44.049553,-53.124146,-47.086285,-42.739697,-38.900543,-43.215595,-60.035995,-47.550392,-38.991257,-34.049286,-34.059227,-27.549255,-21.727406,-30.754633,-50.926476,-61.923126,-63.497795,-63.468895,-53.395336,-38.360546,-40.618603,-41.19801,-39.166077,-42.25418,-45.780544,-38.769924,-48.699482,-32.411793,-36.915276,-40.854893,-37.574993,-36.25295,-36.566944,-33.638252,-31.835564,-42.71988,-39.499474,-34.60731,-54.704636,-52.915337,-37.086338,-53.209312,-43.343018,-44.237083,-53.591087,-58.7629,-54.109417,-42.811005,-35.214855,-33.621635,-58.344738,-62.24233,-42.11174,-46.074223,-56.35316,-50.76117,-43.159332,-43.214268,-30.760368,-25.748743,-29.172714,-38.15869,-48.023964,-60.627228,-54.41546,-42.340633,-41.256485,-80.0,-33.25703,-29.290115,-48.00992,-49.233162,-56.367424,-35.518158,-36.530426,-34.542957,-44.738754,-38.70199,-57.03288,-48.968235,-70.350555,-59.121838,-52.08516,-37.115295,-38.985832,-57.50051,-48.624443,-31.224918,-33.399605,-40.18352,-44.340282,-61.2778,-64.34911,-71.85841
-56.25013,-49.591995,-80.0,-65.95532,-54.89864,-38.42744,-32.944607,-42.520157,-50.25888,-34.762413,-33.249134,-44.685913,-44.778103,-37.907883,-41.07361,-50.71602,-39.65979,-39.222122,-37.388073,-34.56379,-36.02487,-45.72222,-46.71082,-49.329147,-49.491856,-31.463348,-28.404976,-29.21089,-31.122055,-48.48604,-71.79677,-46.762318,-50.860973,-53.892708,-43.34809,-55.554832,-55.29634,-48.95583,-43.12427,-64.05347,-37.753975,-51.20819,-60.942505,-44.069637,-34.5559,-30.02818,-34.999977,-26.873848,-24.448597,-38.137352,-50.376183,-62.152473,-70.90974,-57.549194,-45.21797,-44.83523,-48.634434,-64.13274,-45.831825,-48.42239,-50.88719,-37.644516,-39.67477,-30.79583,-33.50863,-69.9639,-48.43678,-57.820877,-55.61349,-40.638054,-35.496925,-40.79526,-37.470547,-32.476128,-43.61821,-44.11328,-34.949455,-34.999794,-40.40208,-46.686142,-72.29654,-63.414165,-43.276485,-52.35955,-41.758602,-35.991547,-46.932728,-49.755947,-36.68085,-35.489017,-40.42797,-46.62511,-38.805832,-45.96765,-47.372658,-32.233276,-65.83647,-34.90123,-58.139412,-60.49126,-51.608315,-44.10562,-52.487434,-35.367043,-29.711514,-30.33095,-28.350822,-32.986397,-44.598843,-47.200363,-27.669456,-28.459969,-43.401405,-38.283375,-36.115967,-37.07367,-37.51133,-41.422054,-38.624573,-39.634743,-41.221195,-45.4209,-61.00564,-31.828768,-29.450233,-41.39571,-72.40683,-58.596443,-61.25196,-70.38012
-54.085594,-44.32806,-49.88984,-66.352066,-62.101692,-50.821507,-42.27789,-48.38592,-49.547905,-31.397612,-33.0069,-47.95934,-59.392445,-45.926796,-37.71587,-52.239487,-42.992203,-70.28514,-49.237892,-68.14111,-48.04845,-62.259945,-52.767517,-64.3891,-62.296707,-42.402306,-40.68465,-55.104187,-34.251953,-44.133755,-45.786232,-42.255886,-51.73781,-57.803734,-55.226112,-55.97535,-60.142075,-48.350685,-36.690025,-33.1207,-36.643158,-61.723656,-43.985832,-61.58115,-39.81625,-46.121944,-43.03005,-26.526953,-28.832376,-44.762638,-39.088215,-47.290672,-50.981712,-74.06075,-45.223194,-53.515102,-64.56426,-62.99233,-66.29375,-45.0629,-41.433487,-52.214775,-38.695847,-41.155033,-40.807907,-44.94131,-50.251846,-46.851086,-47.687035,-53.51211,-54.38294,-47.932953,-39.196606,-37.46165,-60.929688,-46.384403,-50.053715,-41.175285,-62.91669,-58.835415,-56.742195,-49.842255,-48.643406,-45.423256,-38.801212,-48.22907,-64.372505,-50.07497,-35.59505,-34.704178,-36.926533,-34.22061,-38.821598,-56.676167,-52.615868,-35.69291,-33.09443,-32.167328,-41.34634,-66.99625,-45.08699,-35.06788,-34.51567,-34.116154,-54.34799,-46.458485,-31.08634,-23.28346,-44.246487,-51.001926,-32.358307,-31.702984,-48.2221,-43.225372,-39.723038,-38.44076,-36.66724,-35.956642,-33.751183,-50.856922,-49.862103,-34.514183,-35.85326,-34.344776,-41.298885,-61.97277,-55.681267,-58.95131,-60.917183,-67.75177
-53.89605,-50.084404,-49.46542,-56.854057,-80.0,-68.470474,-64.463165,-56.51396,-40.799576,-38.742,-50.35677,-47.541393,-51.38535,-44.169727,-44.309555,-46.29749,-45.830738,-49.53343,-60.443115,-62.921223,-54.912273,-67.39497,-56.75302,-74.3288,-63.07554,-59.019203,-64.54561,-50.75772,-42.32613,-37.73987,-48.601704,-49.899242,-50.22086,-72.742355,-59.38314,-57.582794,-54.77919,-49.656628,-44.95834,-43.84518,-31.169075,-30.587572,-28.916637,-39.33097,-49.28231,-53.517776,-62.809586,-35.42014,-38.290794,-36.04765,-37.720093,-58.69625,-55.85679,-51.35919,-40.71048,-40.495556,-55.196087,-56.0032,-50.290504,-40.228,-48.42403,-59.562775,-45.8218,-48.224804,-46.88351,-63.39727,-56.15689,-50.067825,-44.97293,-54.91037,-48.8027,-46.636066,-41.064312,-43.63565,-58.386055,-55.26472,-47.233425,-45.32669,-75.29361,-55.187027,-50.267303,-59.68348,-61.27952,-51.849167,-43.240147,-53.697685,-80.0,-57.804325,-49.46746,-49.15331,-59.95858,-40.277157,-64.56081,-44.721954,-38.66776,-42.39631,-44.246975,-34.71333,-42.036705,-62.070564,-46.164505,-35.691902,-46.31828,-53.514503,-37.85769,-28.699001,-19.996933,-24.294525,-36.907093,-39.27126,-55.48076,-41.623695,-47.189865,-65.842285,-47.305115,-44.24317,-45.4402,-44.73813,-37.270363,-50.21447,-39.87437,-37.070282,-53.46212,-46.629795,-69.009964,-54.710632,-48.952248,-59.666794,-60.402153,-74.17603
