0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-78.64161,-78.260056,-80.0,-68.07318,-75.10495,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-75.69411,-72.34766,-77.55679,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-77.7457
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-77.71086,-80.0,-80.0,-78.872345,-75.55643,-80.0,-80.0,-80.0,-78.64766,-77.05333,-77.30698,-75.17204,-80.0,-72.57296,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-75.39936,-78.24482,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-79.82778,-77.06044,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-74.42972,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-77.59458,-80.0,-80.0,-80.0,-80.0,-75.39809,-80.0,-79.37021,-80.0,-80.0,-76.23255,-80.0,-80.0,-80.0,-75.445175,-80.0,-80.0,-80.0,-80.0,-80.0,-78.40323,-80.0,-80.0,-79.45509,-72.91755,-73.5648,-80.0,-80.0,-80.0,-80.0,-80.0,-79.13725,-73.60181,-71.52582
-74.00369,-70.39221,-80.0,-77.952,-68.32966,-73.226166,-70.71784,-74.7153,-80.0,-80.0,-73.27518,-73.307014,-80.0,-74.22927,-78.63323,-72.66654,-70.19672,-77.420685,-80.0,-77.71589,-62.489258,-56.73639,-60.41951,-67.22151,-80.0,-66.669235,-75.74064,-80.0,-79.63359,-80.0,-62.88836,-70.89941,-68.205536,-63.234993,-80.0,-60.070576,-69.146194,-80.0,-80.0,-80.0,-80.0,-80.0,-77.28228,-66.54115,-64.340454,-60.406395,-65.72831,-80.0,-80.0,-77.79814,-79.90442,-67.645226,-67.48399,-78.10657,-80.0,-73.93962,-80.0,-70.89189,-78.33407,-79.54006,-80.0,-80.0,-69.17665,-64.40014,-80.0,-75.0286,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-79.62109,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-77.568886,-76.97757,-77.420654,-80.0,-80.0,-80.0,-65.13319,-55.979115,-55.11506,-65.951355,-70.47803,-64.26056,-68.48345,-77.003555,-69.94601,-67.98107,-71.385574,-77.03693,-80.0,-80.0,-69.79098,-65.43544,-62.785553,-65.24042,-66.79659,-73.63128,-73.7729,-63.81959,-64.11001,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-74.659096,-73.919716,-80.0,-67.62008,-58.523895,-75.67738,-69.097694,-61.501617,-64.61127,-70.69418,-74.59239,-64.43808,-79.33689,-72.68211
-69.04888,-57.735123,-55.3472,-51.99092,-52.994823,-68.28254,-63.26631,-66.78117,-80.0,-80.0,-62.11085,-56.96746,-63.243034,-58.162388,-58.545513,-67.95699,-67.134,-59.235683,-61.475613,-61.656937,-74.49228,-52.241642,-50.65297,-80.0,-54.148094,-46.389084,-52.34301,-56.8575,-70.83259,-67.88519,-50.142906,-47.585743,-46.498184,-46.159668,-50.232876,-49.747406,-55.06696,-62.7821,-66.52779,-75.706535,-71.74351,-80.0,-71.70479,-69.01487,-51.185772,-51.18242,-51.467197,-54.463154,-64.6539,-69.3041,-56.53938,-52.135597,-50.215313,-56.98793,-54.13548,-49.47233,-53.60928,-54.93185,-67.68211,-65.62892,-61.243515,-64.51708,-58.776108,-58.85112,-61.654137,-66.463936,-80.0,-62.65913,-58.810867,-64.326584,-63.236683,-69.31698,-80.0,-80.0,-65.950745,-60.697495,-60.148674,-57.73476,-57.607826,-65.09984,-69.365036,-55.728497,-55.960262,-70.79015,-63.096046,-63.89524,-60.22792,-51.86108,-47.155754,-47.20462,-61.61857,-62.0993,-51.226025,-60.218082,-64.80337,-56.33634,-71.47585,-63.397392,-59.475964,-70.5081,-65.8987,-65.82843,-76.29745,-59.433125,-76.39908,-77.74696,-63.91408,-58.827366,-52.98186,-71.52771,-73.940895,-80.0,-80.0,-72.22955,-65.12612,-59.584976,-73.06755,-67.1424,-80.0,-65.34698,-52.64844,-53.513058,-50.829857,-54.828903,-73.19473,-67.65399,-61.250526,-59.172558,-70.938126,-66.677925
-73.266,-58.76418,-61.15652,-45.604927,-45.34102,-61.299828,-61.841633,-70.128525,-62.026264,-56.344948,-47.569626,-56.303455,-58.397194,-53.42135,-69.15006,-65.4042,-65.8134,-64.173294,-56.123795,-58.08623,-72.24016,-56.238956,-45.82544,-47.334652,-41.47379,-39.537292,-40.92182,-41.181267,-47.959988,-60.23087,-47.302605,-41.376854,-49.860245,-43.84031,-44.97563,-74.33639,-48.580784,-52.426056,-75.57227,-79.96645,-58.25526,-53.049747,-56.595467,-53.809162,-49.871414,-73.38927,-55.617805,-50.534332,-55.885777,-53.334846,-52.840126,-71.06478,-48.17549,-40.706543,-37.8954,-41.056145,-48.611515,-49.208897,-58.56229,-53.724792,-50.25828,-56.171463,-70.29437,-72.75507,-68.46202,-58.78733,-52.63964,-43.44059,-42.859993,-53.28267,-77.256256,-54.866264,-63.10924,-65.91266,-58.908802,-62.04697,-49.395527,-46.162415,-50.08481,-54.836697,-53.648087,-56.342403,-49.141632,-48.871513,-58.199467,-62.628536,-71.27596,-55.938206,-64.57626,-53.041733,-49.336365,-55.13962,-53.306564,-50.776154,-55.70577,-67.51955,-52.45884,-51.47396,-52.161953,-55.032486,-75.69713,-60.00746,-52.937595,-56.51575,-75.129196,-68.98759,-64.96442,-52.223812,-46.10146,-58.24582,-64.73056,-70.36042,-75.925766,-65.017914,-58.599415,-52.549053,-52.4042,-60.596317,-80.0,-66.8332,-56.657707,-67.56705,-46.37897,-43.481735,-49.877724,-53.421787,-48.677048,-47.7705,-57.717674,-53.238853
-80.0,-65.83499,-65.45857,-47.679863,-48.525856,-54.5151,-56.28803,-61.204338,-55.26486,-53.149406,-42.07265,-45.068634,-49.030388,-50.870983,-61.745945,-58.20216,-61.579445,-73.27463,-64.752525,-66.393555,-69.56437,-58.25793,-55.30138,-47.686207,-48.89871,-49.15731,-76.26517,-39.921516,-41.181534,-61.73026,-57.175976,-46.658405,-54.048084,-51.731274,-54.515614,-51.622574,-53.38613,-52.038944,-57.228344,-50.221832,-46.18649,-54.56735,-58.62379,-55.66013,-58.841972,-63.05424,-64.39087,-65.15167,-74.48252,-58.630722,-53.08449,-69.08301,-58.7947,-49.062107,-41.587578,-47.385567,-76.50285,-63.27471,-52.028168,-48.714516,-51.653255,-80.0,-62.606457,-70.94989,-68.42747,-56.793427,-38.038242,-39.907158,-52.080513,-44.55307,-51.002663,-53.744667,-57.29297,-72.925385,-57.397774,-61.10253,-48.837025,-56.3667,-59.326637,-80.0,-50.21303,-57.107224,-48.467014,-52.048016,-64.44264,-70.44148,-57.75045,-53.396404,-73.14583,-61.70366,-51.27808,-71.359024,-60.539513,-70.526436,-50.422066,-55.816574,-50.789707,-57.86292,-69.859604,-56.66574,-57.47318,-54.178257,-57.70224,-56.9346,-58.748333,-57.303463,-69.70939,-56.277454,-45.140076,-51.216244,-80.0,-58.085087,-64.23607,-68.44415,-63.044746,-57.0626,-47.313377,-77.191284,-56.806587,-66.93172,-55.076077,-58.83638,-49.106777,-42.882202,-44.132137,-52.644302,-44.30294,-38.14186,-40.350094,-48.84931
-80.0,-67.52995,-74.10525,-50.67109,-57.3944,-63.259262,-50.842552,-75.20962,-52.927856,-55.329548,-41.625404,-52.172688,-51.726852,-58.991623,-58.894608,-73.26015,-74.2941,-61.422066,-62.984814,-66.52751,-64.828445,-60.176197,-63.562737,-53.494476,-52.876442,-52.952713,-51.456985,-48.26862,-44.89496,-52.749825,-70.3253,-52.861423,-51.393337,-50.410503,-52.25557,-50.250946,-80.0,-66.984314,-50.48231,-47.926086,-47.180786,-61.52643,-69.761536,-80.0,-62.40204,-65.3995,-61.328365,-65.368866,-79.61514,-58.25826,-48.87501,-60.323246,-63.607822,-76.89332,-67.317215,-49.14657,-55.467728,-58.08529,-61.373936,-59.566505,-53.093605,-60.986305,-60.76934,-54.70993,-48.304413,-41.1473,-37.585052,-43.015663,-52.178795,-44.434074,-51.118237,-80.0,-68.260284,-73.31193,-52.82102,-49.500084,-61.147232,-62.7968,-60.564915,-52.214424,-52.2172,-45.37258,-49.067337,-80.0,-69.09201,-67.50775,-50.584663,-41.573387,-44.42713,-51.42493,-68.8653,-62.185936,-54.71149,-47.295322,-44.29837,-62.98677,-53.710514,-60.014133,-80.0,-60.87856,-66.0514,-53.753136,-61.371956,-61.39028,-80.0,-55.901867,-63.111443,-63.319416,-53.40924,-60.63398,-58.91597,-50.976017,-52.973152,-60.980297,-63.66975,-47.732265,-44.668983,-54.87756,-50.429,-44.257698,-49.534107,-77.384415,-60.30193,-59.252163,-55.217766,-54.89636,-48.074455,-48.655094,-45.171707,-53.962322
-77.50227,-63.005558,-61.742046,-57.02046,-62.451958,-64.11074,-48.295723,-50.09073,-48.844837,-44.9508,-44.172062,-56.06301,-59.4713,-65.952896,-67.083374,-71.86281,-80.0,-68.390465,-59.109024,-63.448124,-80.0,-70.90456,-65.271576,-58.18352,-47.238186,-51.327805,-67.04732,-69.189575,-59.553314,-78.85109,-59.356213,-60.3828,-79.14424,-50.110153,-39.810753,-47.422638,-69.15678,-61.74964,-64.374985,-78.53371,-57.69104,-67.4871,-69.50862,-67.877396,-61.595585,-52.132458,-53.156647,-60.66725,-62.404675,-52.108818,-52.10876,-59.77534,-59.202023,-67.72231,-64.54288,-56.607903,-55.65889,-55.44148,-50.60376,-53.167492,-72.33002,-74.81447,-80.0,-61.497665,-50.614304,-48.93648,-55.445744,-57.292885,-55.782795,-59.319077,-55.42903,-63.70932,-65.46066,-61.80871,-45.818295,-50.082108,-67.601,-80.0,-56.801186,-53.774315,-80.0,-56.585644,-48.892906,-52.494244,-62.81807,-74.163055,-64.53876,-44.13695,-37.012543,-46.460976,-60.739086,-69.12079,-51.656315,-47.021072,-58.325356,-43.35018,-43.089046,-52.665142,-80.0,-60.912315,-55.119923,-49.219498,-48.313816,-58.033436,-80.0,-55.97307,-56.882187,-62.906593,-74.105835,-80.0,-68.30874,-52.26013,-63.2968,-67.37868,-68.69852,-50.02573,-50.036285,-67.51314,-54.39135,-44.023666,-51.16173,-80.0,-67.92215,-51.347523,-46.88678,-51.583862,-55.58149,-66.694305,-61.288536,-69.863335
-80.0,-64.24315,-62.82041,-80.0,-66.29061,-59.956757,-52.038296,-52.78549,-61.578247,-67.637184,-54.25249,-58.11567,-65.37265,-56.229553,-80.0,-72.71,-69.338615,-69.13218,-80.0,-72.095505,-80.0,-69.79231,-62.22621,-57.241043,-55.982224,-80.0,-64.620636,-80.0,-63.2942,-58.992603,-69.85128,-67.9496,-69.01833,-56.044613,-43.097145,-44.584152,-57.00743,-80.0,-73.999374,-80.0,-61.599697,-68.95784,-78.41275,-76.01936,-80.0,-54.075424,-62.39431,-72.82449,-80.0,-53.70664,-57.83432,-69.7499,-63.31654,-80.0,-62.478157,-63.881126,-66.94874,-77.330765,-49.276707,-49.23553,-63.939137,-68.34357,-69.37089,-64.52598,-73.98001,-65.95449,-80.0,-80.0,-70.607796,-66.46683,-65.31102,-80.0,-69.627914,-60.91929,-50.007225,-48.01026,-57.429554,-65.44402,-60.715633,-59.563976,-66.716576,-80.0,-63.439964,-49.724495,-60.055317,-80.0,-80.0,-52.931007,-44.823483,-48.221333,-61.520046,-66.816315,-51.068146,-52.685143,-55.263462,-41.10076,-42.367065,-61.17833,-67.03464,-61.6632,-51.090714,-48.909683,-70.89414,-53.81261,-57.075203,-57.331043,-65.22403,-80.0,-80.0,-75.87537,-71.69681,-57.9938,-65.208595,-65.96145,-58.941227,-66.77842,-68.484314,-68.508064,-59.177303,-65.5089,-49.47273,-67.560715,-62.380207,-49.177063,-47.75787,-59.688046,-60.672085,-56.026073,-80.0,-80.0
